test automation, 1
unit tests, 1
functional tests, 1
security, 1
performance, 1
load, 1
browser, 1
chrome, 1
ie, 1
firefox, 1
opera, 1
browser.button(:text => "Run Tests").click, 1
DOM, 1
popup, 1
javascript, 1
ruby, 1
irb, 1
watir, 1
selenium, 1
watir-webdriver, 1
sikuli, 1
taza, 1
watirmark, 1
cucumber, 1
rspec, 1
page objects, 1
specification by example, 1
tdd, 1
bdd, 1
atdd, 1
/b(AT|B|T)(DD)/b, 1
regular expression, 1
/bReg(Ex|ular Expression)/b, 1
web, 1
web2.0, 1
http, 1
html, 1
html5, 1
css, 1
StackOverflow, 1
flash_is_evil, 1
test_code.should be readable, 1
